NS,Author name,Author address,Quartile,Times cited,Article type,Authors,Aticle title,Article source,Year,Volume (issue): pages-article#,WOS number,WOS link,Doi link
,"","",Q1,55,"Editorial Material","Skulstad, H, Cosyns, B, Popescu, BA, Galderisi, M, Di Salvo, G, Donal, E, Petersen, S, Gimelli, A, Haugaa, KH, Muraru, D, Almeida, AG, Schulz-Menger, J, Dweck, MR, Pontone, G, Sade, LE, Gerber, B, Maurovich-Horvat, P, Bharucha, T, Cameli, M, Magne, J, Westwood, M, Maurer, G, Edvardsen, T","COVID-19 pandemic and cardiac imaging: EACVI recommendations on precautions, indications, prioritization, and protection for patients and healthcare personnel","EUROPEAN HEART JOURNAL-CARDIOVASCULAR IMAGING",2020,"21(6):592-598",WOS:000553306300002,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=Publons&SrcAuth=Publons_CEL&KeyUT=WOS:000553306300002&DestLinkType=FullRecord&DestApp=WOS_CPL,https://doi.org/10.1093/ehjci/jeaa072
,"","",Q1,15,"Article","Dweck, MR, Bularga, A, Hahn, RT, Bing, R, Lee, KK, Chapman, AR, White, A, Di Salvo, G, Sade, LE, Pearce, K, Newby, DE, Popescu, BA, Donal, E, Cosyns, B, Edvardsen, T, Mills, NL, Haugaa, K","Global evaluation of echocardiography in patients with COVID-19","EUROPEAN HEART JOURNAL-CARDIOVASCULAR IMAGING",2020,"21(9):949-958",WOS:000566727900002,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=Publons&SrcAuth=Publons_CEL&KeyUT=WOS:000566727900002&DestLinkType=FullRecord&DestApp=WOS_CPL,https://doi.org/10.1093/ehjci/jeaa178
,"","",Q1,13,"Article","Liu, C, Zhu, T, Wu, Q, Jusufi, K, Jamil, M, Azreg-Ainou, M, Wang, A","Shadow and quasinormal modes of a rotating loop quantum black hole","PHYSICAL REVIEW D",2020,"101(8):-84001",WOS:000534726200001,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=Publons&SrcAuth=Publons_CEL&KeyUT=WOS:000534726200001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://doi.org/10.1103/PhysRevD.101.084001
,"","",Q4,9,"Article","Belen-Apak, FB, Sarialioglu, F","The old but new: Can unfractioned heparin and low molecular weight heparins inhibit proteolytic activation and cellular internalization of SARS-CoV2 by inhibition of host cell proteases?","MEDICAL HYPOTHESES",2020,"142:-109743",WOS:000565195600036,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=Publons&SrcAuth=Publons_CEL&KeyUT=WOS:000565195600036&DestLinkType=FullRecord&DestApp=WOS_CPL,https://doi.org/10.1016/j.mehy.2020.109743
,"","",Q3,9,"Letter","Belen-Apak, FB, Sarialioglu, F","Pulmonary intravascular coagulation in COVID-19: possible pathogenesis and recommendations on anticoagulant/thrombolytic therapy","JOURNAL OF THROMBOSIS AND THROMBOLYSIS",2020,"50(2):278-280",WOS:000530608400001,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=Publons&SrcAuth=Publons_CEL&KeyUT=WOS:000530608400001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://doi.org/10.1007/s11239-020-02129-0
,"","",ES,8,"Article","Aktoz, M, Altay, H, Aslanger, E, Atalar, E, Aytekin, V, Baykan, AO, Barcin, C, Baris, N, Boyaci, AA, Cavusoglu, Y, Celik, A, Cinier, G, Degertekin, M, Ergonul, O, Erturk, M, Erol, MK, Gorenek, B, Gursoy, MO, Hunuk, B, Kahveci, G, Karabay, CY, Karaca, I, Kayikcioglu, M, Keskin, M, Kilic, T, Kirma, C, Kocabas, U, Kucukoglu, S, Mutlu, B, Nalbantgil, S, Okuyan, E, Okyay, K, Ozen, DK, Ozgul, S, Ozpelit, E, Pirat, B, Sert, S, Sinan, UY, Sener, YZ, Tatli, E, Tekkesin, AI, Tutar, E, Ural, D, Yildirimturk, O","Turk Cardiology Association Completion Report: COVID-19 Pandemic and Things to Know About Cardiovascular Diseases (25 March 2020)","TURK KARDIYOLOJI DERNEGI ARSIVI-ARCHIVES OF THE TURKISH SOCIETY OF CARDIOLOGY",2020,"48:1-48",WOS:000526091300001,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=Publons&SrcAuth=Publons_CEL&KeyUT=WOS:000526091300001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://doi.org/10.5543/tkda.2020.97198
,"","",Q4,7,"Letter","Fidan, C, Aydogdu, A","As a potential treatment of COVID-19: Montelukast","MEDICAL HYPOTHESES",2020,"142:-109828",WOS:000565195600019,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=Publons&SrcAuth=Publons_CEL&KeyUT=WOS:000565195600019&DestLinkType=FullRecord&DestApp=WOS_CPL,https://doi.org/10.1016/j.mehy.2020.109828
,"","",Q1,7,"Article","Wang, L, Vo, XV, Shahbaz, M, Ak, A","Globalization and carbon emissions: Is there any role of agriculture value-added, financial development, and natural resource rent in the aftermath of COP21?","JOURNAL OF ENVIRONMENTAL MANAGEMENT",2020,"268:-110712",WOS:000538936000051,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=Publons&SrcAuth=Publons_CEL&KeyUT=WOS:000538936000051&DestLinkType=FullRecord&DestApp=WOS_CPL,https://doi.org/10.1016/j.jenvman.2020.110712
,"","",Q1,7,"Review","Schinstock, CA, Mannon, RB, Budde, K, Chong, AS, Haas, M, Knechtle, S, Lefaucheur, C, Montgomery, RA, Nickerson, P, Tullius, SG, Ahn, C, Askar, M, Crespo, M, Chadban, SJ, Feng, S, Jordan, SC, Man, K, Mengel, M, Morris, RE, O'Doherty, I, Ozdemir, BH, Seron, D, Tambur, AR, Tanabe, K, Taupin, JL, O'Connell, PJ","Recommended Treatment for Antibody-mediated Rejection After Kidney Transplantation: The 2019 Expert Consensus From the Transplantion Society Working Group","TRANSPLANTATION",2020,"104(5):911-922",WOS:000529904400019,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=Publons&SrcAuth=Publons_CEL&KeyUT=WOS:000529904400019&DestLinkType=FullRecord&DestApp=WOS_CPL,https://doi.org/10.1097/TP.0000000000003095
,"","",Q4,6,"Article","Akdur, A, Karakaya, E, Soy, EHA, Alshalabi, O, Kirnap, M, Arslan, H, Ulubay, G, Hekimoglu, K, Moray, G, Haberal, M","Coronavirus Disease (COVID-19) in Kidney and Liver Transplant Patients: A Single-Center Experience","EXPERIMENTAL AND CLINICAL TRANSPLANTATION",2020,"18(3):270-274",WOS:000537447100002,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=Publons&SrcAuth=Publons_CEL&KeyUT=WOS:000537447100002&DestLinkType=FullRecord&DestApp=WOS_CPL,https://doi.org/10.6002/ect.2020.0193
,"","",Q1,4,"Review","Carrero, JJ, Gonzalez-Ortiz, A, Avesani, CM, Bakker, SJL, Bellizzi, V, Chauveau, P, Clase, CM, Cupisti, A, Espinosa-Cuevas, A, Molina, P, Moreau, K, Piccoli, GB, Post, A, Sezer, S, Fouque, D","Plant-based diets to manage the risks and complications of chronic kidney disease","NATURE REVIEWS NEPHROLOGY",2020,"16(9):525-542",WOS:000539899700001,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=Publons&SrcAuth=Publons_CEL&KeyUT=WOS:000539899700001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://doi.org/10.1038/s41581-020-0297-2
,"","",Q4,4,"Article","Arslan, H, Musabak, U, Soy, EHA, Azap, OK, Sayin, B, Akcay, S, Haberal, KM, Akdur, A, Yildirim, S, Haberal, M","Incidence and Immunologic Analysis of Coronavirus Disease (COVID-19) in Hemodialysis Patients: A Single-Center Experience","EXPERIMENTAL AND CLINICAL TRANSPLANTATION",2020,"18(3):275-283",WOS:000537447100003,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=Publons&SrcAuth=Publons_CEL&KeyUT=WOS:000537447100003&DestLinkType=FullRecord&DestApp=WOS_CPL,https://doi.org/10.6002/ect.2020.0194
,"","",Q4,4,"Review","Sarialioglu, F, Apak, FBB, Haberal, M","Can Hepatitis A Vaccine Provide Protection Against COVID-19?","EXPERIMENTAL AND CLINICAL TRANSPLANTATION",2020,"18(2):141-143",WOS:000525736000002,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=Publons&SrcAuth=Publons_CEL&KeyUT=WOS:000525736000002&DestLinkType=FullRecord&DestApp=WOS_CPL,https://doi.org/10.6002/ect.2020.0109
